Most Popular Game Genre,Play Hours,Player Age
Action,523,22
RPG,214,35
Shooter,742,28
Sports,56,19
Puzzle,310,24
Adventure,789,30
Strategy,431,27
Shooter,102,21
Action,670,32
RPG,248,25
Sports,900,40
Puzzle,134,18
Action,312,23
Adventure,578,31
Shooter,421,29
RPG,87,16
Strategy,600,34
Puzzle,499,26
Sports,305,20
Action,719,33
Adventure,412,28
Shooter,254,22
RPG,623,36
Puzzle,188,19
Strategy,730,38
Sports,365,27
Action,485,24
Adventure,216,21
Shooter,699,31
RPG,112,17
Puzzle,845,39
Action,391,23
Strategy,578,29
Sports,246,20
Shooter,503,32
Adventure,130,18
RPG,419,25
Puzzle,612,34
Action,721,31
Sports,298,22
Strategy,489,30
Shooter,354,24
Adventure,107,19
RPG,667,37
Action,234,21
Puzzle,541,28
Sports,432,26
Shooter,176,18
Adventure,698,33
Strategy,295,22
Action,803,36
RPG,219,24
Puzzle,487,30
Sports,601,32
Shooter,328,23
Adventure,412,27
Action,574,29
RPG,190,20
Strategy,349,25
Puzzle,733,38
Sports,264,19
Shooter,581,31
Adventure,317,22
Action,426,27
RPG,492,35
Puzzle,135,18
Strategy,668,33
Sports,389,28
Shooter,273,21
Adventure,540,30
Action,311,22
RPG,782,39
Puzzle,227,20
Sports,605,32
Shooter,149,19
Adventure,470,26
Action,386,25
Strategy,523,34
RPG,198,18
Puzzle,401,27
Sports,652,36
Shooter,314,23
Adventure,275,22
Action,499,29
RPG,364,24
Puzzle,719,38
Strategy,428,30
Sports,301,21
Shooter,569,33
Adventure,212,19
Action,637,31
RPG,445,28
Puzzle,389,26
Sports,598,35
Shooter,260,20
Adventure,482,27
Action,731,36
RPG,176,17
Puzzle,513,29
Strategy,402,25
Sports,311,21
Shooter,638,34
Adventure,248,22
Action,567,30
RPG,305,23
Puzzle,494,31
